发车日期,不同单元个数
2021-04-10,3
2021-04-11,27
2021-04-12,32
2021-04-13,33
2021-04-14,48
2021-04-15,43
2021-04-16,51
2021-04-17,63
2021-04-18,51
2021-04-19,46
2021-04-20,50
2021-04-21,42
2021-04-22,52
2021-04-23,62
2021-04-24,56
2021-04-25,57
2021-04-26,41
2021-04-27,56
2021-04-28,56
2021-04-29,67
2021-04-30,58
2021-05-01,52
2021-05-02,40
2021-05-03,68
2021-05-04,57
2021-05-05,65
2021-05-06,65
2021-05-07,64
2021-05-08,48
2021-05-09,58
2021-05-10,61
2021-05-11,59
2021-05-12,63
2021-05-13,76
2021-05-14,67
2021-05-15,68
2021-05-16,60
2021-05-17,78
2021-05-18,76
2021-05-19,71
2021-05-20,83
2021-05-21,91
2021-05-22,72
2021-05-23,87
2021-05-24,76
2021-05-25,77
2021-05-26,78
2021-05-27,78
2021-05-28,83
2021-05-29,93
2021-05-30,71
2021-05-31,70
2021-06-01,68
2021-06-02,93
2021-06-03,75
2021-06-04,70
2021-06-05,78
2021-06-06,91
2021-06-07,80
2021-06-08,80
2021-06-09,65
2021-06-10,63
2021-06-11,66
2021-06-12,90
2021-06-13,78
2021-06-14,70
2021-06-15,68
2021-06-16,67
2021-06-17,76
2021-06-18,95
2021-06-19,82
2021-06-20,67
2021-06-21,109
2021-06-22,104
2021-06-23,127
2021-06-24,117
2021-06-25,162
2021-06-26,145
2021-06-27,179
2021-06-28,172
2021-06-29,181
2021-06-30,166
2021-07-01,147
2021-07-02,142
2021-07-03,148
2021-07-04,137
2021-07-05,137
2021-07-06,143
2021-07-07,132
2021-07-08,157
2021-07-09,168
2021-07-10,151
2021-07-11,146
2021-07-12,142
2021-07-13,174
2021-07-14,184
2021-07-15,181
2021-07-16,184
2021-07-17,202
2021-07-18,212
2021-07-19,200
2021-07-20,201
2021-07-21,205
2021-07-22,181
2021-07-23,176
2021-07-24,194
2021-07-25,181
2021-07-26,170
2021-07-27,157
2021-07-28,174
2021-07-29,193
2021-07-30,196
2021-07-31,196
2021-08-01,188
2021-08-02,160
2021-08-03,195
2021-08-04,186
2021-08-05,183
2021-08-06,200
2021-08-07,181
2021-08-08,173
2021-08-09,199
2021-08-10,175
2021-08-11,186
2021-08-12,197
2021-08-13,201
2021-08-14,201
2021-08-15,201
2021-08-16,238
2021-08-17,184
2021-08-18,203
2021-08-19,216
2021-08-20,194
2021-08-21,217
2021-08-22,207
2021-08-23,221
2021-08-24,199
2021-08-25,225
2021-08-26,231
2021-08-27,211
2021-08-28,215
2021-08-29,227
2021-08-30,219
2021-08-31,194
2021-09-01,218
2021-09-02,255
2021-09-03,214
2021-09-04,227
2021-09-05,250
2021-09-06,234
2021-09-07,228
2021-09-08,234
2021-09-09,214
2021-09-10,212
2021-09-11,171
2021-09-12,196
2021-09-13,190
2021-09-14,187
2021-09-15,193
2021-09-16,185
2021-09-17,220
2021-09-18,199
2021-09-19,215
2021-09-20,194
2021-09-21,147
2021-09-22,188
2021-09-23,211
2021-09-24,205
2021-09-25,179
2021-09-26,148
2021-09-27,125
2021-09-28,148
2021-09-29,146
2021-09-30,132
2021-10-01,104
2021-10-02,125
2021-10-03,116
2021-10-04,120
2021-10-05,111
2021-10-06,116
2021-10-07,118
2021-10-08,117
2021-10-09,121
2021-10-10,122
2021-10-11,137
2021-10-12,131
2021-10-13,113
2021-10-14,120
2021-10-15,115
2021-10-16,135
2021-10-17,137
2021-10-18,126
2021-10-19,116
2021-10-20,119
2021-10-21,122
2021-10-22,116
2021-10-23,137
2021-10-24,114
2021-10-25,131
2021-10-26,129
2021-10-27,119
2021-10-28,125
2021-10-29,130
2021-10-30,145
2021-10-31,144
2021-11-01,145
2021-11-02,136
2021-11-03,142
2021-11-04,161
2021-11-05,137
2021-11-06,152
2021-11-07,152
2021-11-08,143
2021-11-09,141
2021-11-10,151
2021-11-11,122
2021-11-12,147
2021-11-13,151
2021-11-14,140
2021-11-15,157
2021-11-16,160
2021-11-17,147
2021-11-18,149
2021-11-19,152
2021-11-20,145
2021-11-21,160
2021-11-22,153
2021-11-23,133
2021-11-24,144
2021-11-25,152
2021-11-26,170
2021-11-27,165
2021-11-28,156
2021-11-29,153
2021-11-30,157
2021-12-01,160
2021-12-02,142
2021-12-03,150
2021-12-04,159
2021-12-05,166
2021-12-06,151
2021-12-07,141
2021-12-08,159
2021-12-09,142
2021-12-10,161
2021-12-11,174
2021-12-12,180
2021-12-13,186
2021-12-14,133
2021-12-15,139
2021-12-16,157
2021-12-17,169
2021-12-18,162
2021-12-19,159
2021-12-20,151
2021-12-21,167
2021-12-22,160
2021-12-23,158
2021-12-24,174
2021-12-25,187
2021-12-26,164
2021-12-27,156
2021-12-28,164
2021-12-29,178
2021-12-30,192
2021-12-31,178
2022-01-01,166
2022-01-02,182
2022-01-03,165
2022-01-04,180
2022-01-05,161
2022-01-06,168
2022-01-07,176
2022-01-08,172
2022-01-09,162
2022-01-10,150
2022-01-11,157
2022-01-12,169
2022-01-13,154
2022-01-14,165
2022-01-15,155
2022-01-16,157
2022-01-17,142
2022-01-18,149
2022-01-19,147
2022-01-20,135
2022-01-21,149
2022-01-22,135
2022-01-23,110
2022-01-24,92
2022-01-25,108
2022-01-26,95
2022-01-27,77
2022-01-28,77
2022-01-29,66
2022-02-07,133
2022-02-08,106
2022-02-09,133
2022-02-10,150
2022-02-11,168
2022-02-12,172
2022-02-13,172
2022-02-14,156
2022-02-15,159
2022-02-16,155
2022-02-17,145
2022-02-18,148
2022-02-19,159
2022-02-20,138
2022-02-21,143
2022-02-22,143
2022-02-23,152
2022-02-24,159
2022-02-25,165
2022-02-26,153
2022-02-27,154
2022-02-28,168
2022-03-01,146
2022-03-02,144
2022-03-03,157
2022-03-04,160
2022-03-05,160
2022-03-06,143
2022-03-07,139
2022-03-08,132
2022-03-09,160
2022-03-10,141
2022-03-11,167
2022-03-12,175
2022-03-13,193
2022-03-14,175
2022-03-15,122
2022-03-16,131
2022-03-17,100
2022-03-18,97
2022-03-19,126
2022-03-20,142
2022-03-21,151
2022-03-22,161
2022-03-23,154
2022-03-24,179
2022-03-25,194
2022-03-26,203
2022-03-27,216
2022-03-28,215
2022-03-29,248
2022-03-30,244
2022-03-31,276
2022-04-01,303
2022-04-02,278
2022-04-03,302
2022-04-04,301
2022-04-05,299
2022-04-06,282
2022-04-07,273
2022-04-08,298
2022-04-09,320
2022-04-10,294
2022-04-11,305
2022-04-12,333
2022-04-13,309
2022-04-14,342
2022-04-15,341
2022-04-16,355
2022-04-17,358
2022-04-18,346
2022-04-19,307
2022-04-20,323
2022-04-21,345
2022-04-22,332
2022-04-23,340
2022-04-24,336
2022-04-25,335
2022-04-26,346
2022-04-27,330
2022-04-28,330
2022-04-29,372
2022-04-30,368
2022-05-01,306
2022-05-02,349
2022-05-03,300
2022-05-04,326
2022-05-05,316
2022-05-06,321
2022-05-07,331
2022-05-08,343
2022-05-09,336
2022-05-10,311
2022-05-11,305
2022-05-12,282
2022-05-13,345
2022-05-14,328
2022-05-15,348
2022-05-16,343
2022-05-17,332
2022-05-18,348
2022-05-19,338
2022-05-20,320
2022-05-21,356
2022-05-22,353
2022-05-23,353
2022-05-24,353
2022-05-25,347
2022-05-26,368
2022-05-27,392
2022-05-28,349
2022-05-29,359
2022-05-30,344
2022-05-31,335
2022-06-01,321
2022-06-02,349
2022-06-03,335
2022-06-04,311
2022-06-05,341
2022-06-06,451
2022-06-07,467
2022-06-08,548
2022-06-09,525
2022-06-10,669
2022-06-11,691
2022-06-12,737
2022-06-13,756
2022-06-14,760
2022-06-15,685
2022-06-16,713
2022-06-17,701
2022-06-18,703
2022-06-19,689
2022-06-20,682
2022-06-21,670
2022-06-22,670
2022-06-23,624
2022-06-24,629
2022-06-25,683
2022-06-26,646
2022-06-27,665
2022-06-28,637
2022-06-29,630
2022-06-30,663
2022-07-01,687
2022-07-02,694
2022-07-03,698
2022-07-04,682
2022-07-05,680
2022-07-06,667
2022-07-07,663
2022-07-08,741
2022-07-09,708
2022-07-10,667
2022-07-11,685
2022-07-12,644
2022-07-13,672
2022-07-14,618
2022-07-15,690
2022-07-16,761
2022-07-17,696
2022-07-18,692
2022-07-19,700
2022-07-20,706
2022-07-21,710
2022-07-22,702
2022-07-23,712
2022-07-24,712
2022-07-25,671
2022-07-26,713
2022-07-27,678
2022-07-28,696
2022-07-29,694
2022-07-30,713
2022-07-31,708
2022-08-01,752
2022-08-02,777
2022-08-03,750
2022-08-04,805
2022-08-05,759
2022-08-06,776
2022-08-07,737
2022-08-08,720
2022-08-09,732
2022-08-10,712
2022-08-11,704
2022-08-12,778
2022-08-13,753
2022-08-14,750
2022-08-15,737
2022-08-16,686
2022-08-17,742
2022-08-18,737
2022-08-19,771
2022-08-20,755
2022-08-21,772
2022-08-22,753
2022-08-23,738
2022-08-24,716
2022-08-25,668
2022-08-26,768
2022-08-27,786
2022-08-28,764
2022-08-29,721
2022-08-30,734
2022-08-31,740
2022-09-01,782
2022-09-02,754
2022-09-03,735
2022-09-04,631
2022-09-05,761
2022-09-06,707
2022-09-07,697
2022-09-08,728
2022-09-09,693
2022-09-10,577
2022-09-11,655
2022-09-12,691
2022-09-13,731
2022-09-14,672
2022-09-15,720
2022-09-16,737
2022-09-17,756
2022-09-18,738
2022-09-19,740
2022-09-20,694
2022-09-21,739
2022-09-22,799
2022-09-23,818
2022-09-24,787
2022-09-25,776
2022-09-26,788
2022-09-27,795
2022-09-28,754
2022-09-29,808
2022-09-30,842
2022-10-01,700
2022-10-02,710
2022-10-03,728
2022-10-04,738
2022-10-05,739
2022-10-06,799
2022-10-07,802
2022-10-08,908
2022-10-09,877
2022-10-10,863
2022-10-11,861
2022-10-12,842
2022-10-13,881
2022-10-14,897
2022-10-15,902
2022-10-16,939
2022-10-17,942
2022-10-18,891
2022-10-19,928
2022-10-20,909
2022-10-21,910
2022-10-22,957
2022-10-23,969
2022-10-24,938
2022-10-25,900
2022-10-26,901
2022-10-27,885
2022-10-28,974
2022-10-29,915
2022-10-30,901
2022-10-31,926
2022-11-01,868
2022-11-02,851
2022-11-03,858
2022-11-04,931
2022-11-05,916
2022-11-06,915
2022-11-07,912
2022-11-08,875
2022-11-09,852
2022-11-10,902
2022-11-11,869
2022-11-12,886
2022-11-13,844
2022-11-14,850
2022-11-15,846
2022-11-16,855
2022-11-17,920
2022-11-18,946
2022-11-19,946
2022-11-20,905
2022-11-21,951
2022-11-22,886
2022-11-23,910
2022-11-24,908
2022-11-25,893
2022-11-26,915
2022-11-27,900
2022-11-28,893
2022-11-29,906
2022-11-30,868
2022-12-01,917
2022-12-02,944
2022-12-03,949
2022-12-04,1053
2022-12-05,969
2022-12-06,940
2022-12-07,940
2022-12-08,940
2022-12-09,973
2022-12-10,995
2022-12-11,984
2022-12-12,957
2022-12-13,942
2022-12-14,923
2022-12-15,920
2022-12-16,892
2022-12-17,904
2022-12-18,917
2022-12-19,808
2022-12-20,859
2022-12-21,857
2022-12-22,800
2022-12-23,793
2022-12-24,827
2022-12-25,831
2022-12-26,834
2022-12-27,862
2022-12-28,864
2022-12-29,879
2022-12-30,872
2022-12-31,932
2023-01-01,930
2023-01-02,845
2023-01-03,841
2023-01-04,857
2023-01-05,835
2023-01-06,858
2023-01-07,826
2023-01-08,785
2023-01-09,765
2023-01-10,748
2023-01-11,755
2023-01-12,716
2023-01-13,713
2023-01-14,662
2023-01-15,591
2023-01-16,508
2023-01-17,461
2023-01-18,414
2023-01-19,255
2023-01-27,385
2023-01-28,473
2023-01-29,552
2023-01-30,605
2023-01-31,648
2023-02-01,737
2023-02-02,792
2023-02-03,809
2023-02-04,891
2023-02-05,849
2023-02-06,774
2023-02-07,812
2023-02-08,831
2023-02-09,824
2023-02-10,873
2023-02-11,888
2023-02-12,901
2023-02-13,882
2023-02-14,857
2023-02-15,915
2023-02-16,873
2023-02-17,888
2023-02-18,912
2023-02-19,956
2023-02-20,904
2023-02-21,888
2023-02-22,920
2023-02-23,976
2023-02-24,960
2023-02-25,948
2023-02-26,952
2023-02-27,936
2023-02-28,892
2023-03-01,969
2023-03-02,977
2023-03-03,967
2023-03-04,1018
2023-03-05,1003
2023-03-06,947
2023-03-07,916
2023-03-08,971
2023-03-09,960
2023-03-10,940
2023-03-11,985
2023-03-12,964
2023-03-13,948
2023-03-14,936
2023-03-15,974
2023-03-16,973
2023-03-17,1039
2023-03-18,996
2023-03-19,1018
2023-03-20,1019
2023-03-21,942
2023-03-22,963
2023-03-23,949
2023-03-24,979
2023-03-25,993
2023-03-26,923
2023-03-27,974
2023-03-28,937
2023-03-29,965
2023-03-30,970
2023-03-31,956
2023-04-01,984
2023-04-02,1014
2023-04-03,967
2023-04-04,974
2023-04-05,957
2023-04-06,973
2023-04-07,948
2023-04-08,962
2023-04-09,1003
2023-04-10,1006
2023-04-11,974
2023-04-12,958
2023-04-13,919
2023-04-14,978
2023-04-15,932
2023-04-16,1017
2023-04-17,958
2023-04-18,988
2023-04-19,949
2023-04-20,991
2023-04-21,933
2023-04-22,1004
2023-04-23,1031
2023-04-24,993
2023-04-25,975
2023-04-26,1058
2023-04-27,1023
2023-04-28,1067
2023-04-29,1075
2023-04-30,1012
2023-05-01,931
2023-05-02,965
2023-05-03,974
2023-05-04,1010
2023-05-05,995
2023-05-06,978
2023-05-07,1006
2023-05-08,1051
2023-05-09,1059
2023-05-10,1051
2023-05-11,1020
2023-05-12,1064
2023-05-13,1058
2023-05-14,1048
2023-05-15,1039
2023-05-16,1023
2023-05-17,1025
2023-05-18,1029
2023-05-19,1036
2023-05-20,1091
2023-05-21,1085
2023-05-22,1043
2023-05-23,1077
2023-05-24,1067
2023-05-25,1045
2023-05-26,1059
2023-05-27,1060
2023-05-28,1026
2023-05-29,1054
2023-05-30,1019
2023-05-31,969
2023-06-01,1028
2023-06-02,1078
2023-06-03,1055
2023-06-04,1074
2023-06-05,1086
2023-06-06,1074
2023-06-07,1038
2023-06-08,1092
2023-06-09,1075
2023-06-10,1134
2023-06-11,1076
2023-06-12,1109
2023-06-13,1116
2023-06-14,1007
2023-06-15,1031
2023-06-16,1095
2023-06-17,1141
2023-06-18,1124
2023-06-19,1104
2023-06-20,1077
2023-06-21,1130
2023-06-22,1040
2023-06-23,1007
2023-06-24,1065
2023-06-25,1095
2023-06-26,1086
2023-06-27,1119
2023-06-28,1118
2023-06-29,1086
2023-06-30,1116
2023-07-01,1105
2023-07-02,1164
2023-07-03,1108
2023-07-04,1111
2023-07-05,1117
2023-07-06,1159
2023-07-07,1123
2023-07-08,1151
2023-07-09,1124
2023-07-10,1126
2023-07-11,1104
2023-07-12,1162
2023-07-13,1115
2023-07-14,1149
2023-07-15,1180
2023-07-16,1062
2023-07-17,1149
2023-07-18,1125
2023-07-19,1214
2023-07-20,1189
2023-07-21,1230
2023-07-22,1202
2023-07-23,1201
2023-07-24,1179
2023-07-25,1155
2023-07-26,1163
2023-07-27,1192
2023-07-28,1212
2023-07-29,1162
2023-07-30,1166
2023-07-31,1182
2023-08-01,1197
2023-08-02,1237
2023-08-03,1184
2023-08-04,1191
2023-08-05,1170
2023-08-06,1164
2023-08-07,1198
2023-08-08,1137
2023-08-09,1163
2023-08-10,1161
2023-08-11,1235
2023-08-12,1201
2023-08-13,1196
2023-08-14,1210
2023-08-15,1191
2023-08-16,1143
2023-08-17,1188
2023-08-18,1180
2023-08-19,1217
2023-08-20,1211
2023-08-21,1179
2023-08-22,1200
2023-08-23,1187
2023-08-24,1162
2023-08-25,1176
2023-08-26,1232
2023-08-27,1210
2023-08-28,1180
2023-08-29,1124
2023-08-30,1186
2023-08-31,1209
2023-09-01,1162
2023-09-02,932
2023-09-03,1308
2023-09-04,1252
2023-09-05,1110
2023-09-06,1167
2023-09-07,1165
2023-09-08,1036
2023-09-09,1187
2023-09-10,1241
2023-09-11,1213
2023-09-12,1151
2023-09-13,1229
2023-09-14,1166
2023-09-15,1179
2023-09-16,1190
2023-09-17,1294
2023-09-18,1219
2023-09-19,1198
2023-09-20,1182
2023-09-21,1164
2023-09-22,1210
2023-09-23,1135
2023-09-24,1187
2023-09-25,1171
2023-09-26,1165
2023-09-27,1163
2023-09-28,1169
2023-09-29,1009
2023-09-30,857
2023-10-01,922
2023-10-02,977
2023-10-03,1005
2023-10-04,1082
2023-10-05,1106
2023-10-06,1153
2023-10-07,1110
2023-10-08,1123
2023-10-09,1070
2023-10-10,1101
2023-10-11,1195
2023-10-12,1155
2023-10-13,1177
2023-10-14,1191
2023-10-15,1194
2023-10-16,1107
2023-10-17,1155
2023-10-18,1146
2023-10-19,1081
2023-10-20,1137
2023-10-21,1153
2023-10-22,1177
2023-10-23,1156
2023-10-24,1166
2023-10-25,1136
2023-10-26,1155
2023-10-27,1166
2023-10-28,1115
2023-10-29,1092
2023-10-30,1149
2023-10-31,1107
2023-11-01,1098
2023-11-02,1112
2023-11-03,1124
2023-11-04,1141
2023-11-05,1116
2023-11-06,1157
2023-11-07,1114
2023-11-08,1098
2023-11-09,1115
2023-11-10,1091
2023-11-11,1086
2023-11-12,1117
2023-11-13,1092
2023-11-14,1103
2023-11-15,1063
2023-11-16,1086
2023-11-17,1097
2023-11-18,1101
2023-11-19,896
